rank_test_score,mean_test_score,std_test_score,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,mean_fit_time
279,0.5535912505554073,0.008748242889789648,100,7,0.01,0.9,0.7,0.3387187957763672
280,0.5534512271237038,0.0096531996663762,100,7,0.01,0.8,0.9,0.35578603744506837
281,0.5530953307221822,0.009720231899535834,200,5,0.01,0.7,0.7,0.5886651992797851
282,0.552898730349679,0.009137749153200108,200,5,0.01,0.8,0.7,0.5157540321350098
283,0.55245046596664,0.007911914611068013,200,5,0.01,0.7,0.8,0.5671216487884522
284,0.552389808269089,0.007809950849128042,100,7,0.01,0.9,0.9,0.44922361373901365
285,0.5520713890026114,0.007503120907081206,100,7,0.01,0.9,0.8,0.35277538299560546
286,0.5519374097677443,0.011074119703835667,200,5,0.01,0.9,0.8,0.5278902530670166
287,0.5519189905316673,0.009367182429130629,200,5,0.01,0.8,0.9,0.8248186588287354
288,0.5510680898566178,0.011338202422783219,200,5,0.01,0.9,0.9,0.5067332744598388
289,0.5505804666044456,0.009629826672800304,100,5,0.01,0.7,0.9,0.3170815944671631
290,0.5504761628989078,0.011221880539554327,300,3,0.01,0.7,0.7,0.6541635990142822
291,0.5504535158539531,0.010246708011022662,100,5,0.01,0.7,0.7,0.30147714614868165
292,0.5503007427333274,0.01176471870637796,100,5,0.01,0.8,0.7,0.2547006130218506
293,0.5502522499181792,0.011323048585818394,300,3,0.01,0.9,0.7,0.6849758148193359
294,0.5501939034435503,0.009498459190023923,300,3,0.01,0.7,0.9,0.7498966217041015
295,0.5498757285959497,0.010532133016144021,100,5,0.01,0.7,0.8,0.3318485260009766
296,0.5498275580790825,0.009721059481820523,300,3,0.01,0.8,0.8,0.6604661464691162
297,0.5497067337693503,0.010575839299581289,300,3,0.01,0.9,0.8,0.6673792362213135
298,0.5495427432882253,0.01036699240154342,300,3,0.01,0.8,0.7,0.7961926460266113
299,0.549337574807936,0.009636377780510791,300,3,0.01,0.8,0.9,0.7690244197845459
300,0.5492015497401646,0.009531244710147161,100,5,0.01,0.8,0.9,0.38210906982421877
301,0.5490853936086388,0.010042393201059579,300,3,0.01,0.7,0.8,0.622158145904541
302,0.5490233272119793,0.012918288335229759,100,5,0.01,0.8,0.8,0.3114962100982666
303,0.5486403716471983,0.009886388354201933,100,5,0.01,0.9,0.7,0.360903263092041
